"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\core\custom_widgets\Decoration_widget.dart", "Dart", 21, 0, 4, 25
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\core\custom_widgets\animation_widget.dart", "Dart", 26, 1, 5, 32
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\core\custom_widgets\button_widget.dart", "Dart", 32, 1, 5, 38
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\core\custom_widgets\circle_widget.dart", "Dart", 23, 0, 3, 26
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\core\custom_widgets\error_dialog.dart", "Dart", 99, 0, 3, 102
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\core\custom_widgets\loading_dialog.dart", "Dart", 28, 0, 3, 31
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\core\custom_widgets\separtor_widget.dart", "Dart", 16, 0, 4, 20
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\core\custom_widgets\success_dialog.dart", "Dart", 52, 0, 4, 56
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\core\custom_widgets\text_widget.dart", "Dart", 14, 0, 3, 17
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\core\custom_widgets\yes_no_dialog.dart", "Dart", 99, 0, 4, 103
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\core\exceptions\exception.dart", "Dart", 1, 0, 1, 2
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\core\extensions\extensions.dart", "Dart", 183, 26, 25, 234
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\core\injection\di.dart", "Dart", 126, 0, 23, 149
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\core\lanuch_first_screen\lanuch_first.dart", "Dart", 43, 0, 3, 46
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\core\network\network_info.dart", "Dart", 16, 0, 4, 20
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\core\position_locator\locator.dart", "Dart", 18, 32, 15, 65
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\core\resources\asset_manager.dart", "Dart", 60, 0, 4, 64
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\core\resources\colors_manager.dart", "Dart", 13, 0, 3, 16
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\lib\core\resources\constants_manager.dart", "Dart", 39, 7, 3, 49
