"filename", "language", "C++", "CSS", "JavaScript", "JSON", "HTML", "Dart", "Markdown", "YAML", "XML", "Swift", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 23, 4, 30
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 3, 13, 73
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\android\app\google-services.json", "JSON", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 6, 2, 57
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\android\app\src\main\res\drawable-night\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 2, 9
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 3, 10
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\android\app\src\main\res\drawable\ic_logo_dark.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 1, 31
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 2, 14
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\android\app\src\main\res\drawable\logo_white.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 24
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 9, 1, 20
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 9, 1, 20
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 6, 34
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 1, 7
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\404 Error-pana.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\Dark mode phone animation.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Elhoda\Downloads\Yalla Bus\yalla_bus\assets\images\Light mode phone animation.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
